times=0,loss=100000.0000,accu=0.0000,lr=0.010000,decay=0.000002
Saved times=1,loss=0.1873,accu=0.0783,lr=0.010000,decay=0.000002overfit rate = 0%
Saved times=2,loss=0.1446,accu=0.0756,lr=0.009970,decay=0.000002overfit rate = 0%
Saved times=3,loss=0.1262,accu=0.0785,lr=0.009940,decay=0.000002overfit rate = 0%
Saved times=4,loss=0.1071,accu=0.0781,lr=0.009910,decay=0.000002overfit rate = 0%
Saved times=5,loss=0.1011,accu=0.0799,lr=0.009881,decay=0.000002overfit rate = 0%
Saved times=6,loss=0.0893,accu=0.0802,lr=0.009851,decay=0.000002overfit rate = 0%
Saved times=7,loss=0.0883,accu=0.0802,lr=0.009822,decay=0.000002overfit rate = 0%
Saved times=8,loss=0.0843,accu=0.0783,lr=0.009792,decay=0.000002overfit rate = 0%
Saved times=9,loss=0.0805,accu=0.0804,lr=0.009763,decay=0.000002overfit rate = 0%
times=10,loss=0.0805,accu=0.0804,lr=0.009734,decay=0.000002overfit rate = 5%
Saved times=11,loss=0.0744,accu=0.0798,lr=0.009704,decay=0.000002overfit rate = 0%
Saved times=12,loss=0.0739,accu=0.0800,lr=0.009675,decay=0.000002overfit rate = 0%
Saved times=13,loss=0.0701,accu=0.0798,lr=0.009646,decay=0.000002overfit rate = 0%
Saved times=14,loss=0.0661,accu=0.0797,lr=0.009618,decay=0.000002overfit rate = 0%
times=15,loss=0.0661,accu=0.0797,lr=0.009589,decay=0.000002overfit rate = 5%
Saved times=16,loss=0.0647,accu=0.0800,lr=0.009560,decay=0.000002overfit rate = 0%
times=17,loss=0.0647,accu=0.0800,lr=0.009531,decay=0.000002overfit rate = 15%
Saved times=18,loss=0.0610,accu=0.0801,lr=0.009503,decay=0.000002overfit rate = 0%
times=19,loss=0.0610,accu=0.0801,lr=0.009474,decay=0.000002overfit rate = 5%
times=20,loss=0.0610,accu=0.0801,lr=0.009446,decay=0.000002overfit rate = 10%
Saved times=21,loss=0.0584,accu=0.0802,lr=0.009418,decay=0.000002overfit rate = 0%
Saved times=22,loss=0.0573,accu=0.0800,lr=0.009389,decay=0.000002overfit rate = 0%
Saved times=23,loss=0.0567,accu=0.0795,lr=0.009361,decay=0.000002overfit rate = 0%
times=24,loss=0.0567,accu=0.0795,lr=0.009333,decay=0.000002overfit rate = 15%
Saved times=25,loss=0.0539,accu=0.0796,lr=0.009305,decay=0.000002overfit rate = 0%
Saved times=26,loss=0.0531,accu=0.0800,lr=0.009277,decay=0.000002overfit rate = 0%
times=27,loss=0.0531,accu=0.0800,lr=0.009250,decay=0.000002overfit rate = 10%
times=28,loss=0.0531,accu=0.0800,lr=0.009222,decay=0.000002overfit rate = 5%
times=29,loss=0.0531,accu=0.0800,lr=0.009194,decay=0.000002overfit rate = 20%
times=30,loss=0.0531,accu=0.0800,lr=0.009167,decay=0.000002overfit rate = 20%
times=31,loss=0.0531,accu=0.0800,lr=0.009139,decay=0.000002overfit rate = 45%
times=32,loss=0.0531,accu=0.0800,lr=0.009112,decay=0.000002overfit rate = 30%
Saved times=33,loss=0.0499,accu=0.0801,lr=0.009085,decay=0.000002overfit rate = 0%
times=34,loss=0.0499,accu=0.0801,lr=0.009057,decay=0.000002overfit rate = 25%
times=35,loss=0.0499,accu=0.0801,lr=0.009030,decay=0.000002overfit rate = 5%
times=36,loss=0.0499,accu=0.0801,lr=0.009003,decay=0.000002overfit rate = 10%
Saved times=37,loss=0.0487,accu=0.0800,lr=0.008976,decay=0.000002overfit rate = 0%
times=38,loss=0.0487,accu=0.0800,lr=0.008949,decay=0.000002overfit rate = 5%
times=39,loss=0.0487,accu=0.0800,lr=0.008923,decay=0.000002overfit rate = 5%
Saved times=40,loss=0.0477,accu=0.0799,lr=0.008896,decay=0.000002overfit rate = 0%
Saved times=41,loss=0.0466,accu=0.0799,lr=0.008869,decay=0.000002overfit rate = 0%
times=42,loss=0.0466,accu=0.0799,lr=0.008843,decay=0.000002overfit rate = 70%
